Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
23,SF,5,32,0.25,0.5,0.625,0.28,0.594,0.25,0.406,1.03,0.063,0.188,0.125,0,0.375,0.063,0.063,2022
24,TEN,5,31,0.226,0.25,0.677,0.43,0.419,0.52,0.581,0.26,0,0.226,0.065,0,0.194,0.226,0.194,2022
25,NYG,5,31,0.161,0.27,0.742,0.4,0.742,0.37,0.258,0.34,0,0.161,0.065,0,0.516,0.161,0,2022
26,SEA,5,30,0.433,0.8,0.567,0.81,0.5,0.71,0.5,0.9,0.033,0.333,0.1,0.067,0.167,0.267,0.033,2022
27,CHI,5,29,0.207,0.27,0.724,0.52,0.241,0.42,0.759,0.63,0.069,0.138,0.172,0,0.138,0.172,0.241,2022
28,NO,5,27,0.556,0.5,0.444,0.7,0.778,0.45,0.222,1.08,0,0.556,0,0,0.222,0.074,0.148,2022
29,HOU,5,25,0.28,0.26,0.72,0.21,0.64,0.22,0.36,0.24,0,0.24,0.16,0.04,0.4,0.04,0.12,2022
30,NYJ,5,24,0.5,0.43,0.458,0.29,0.75,0.41,0.25,1.24,0.042,0.458,0.167,0,0.292,0,0,2022
31,NE,5,22,0.636,0.24,0.364,0.96,0.727,0.27,0.273,1.11,0,0.636,0.227,0,0.091,0.045,0,2022
32,DAL,5,19,0.105,0.18,0.895,0.22,0.947,0.23,0.053,0,0,0.105,0,0,0.842,0.053,0,2022
1,LAC,6,61,0.131,0.11,0.82,0.17,0.59,0.16,0.41,0.15,0.049,0.082,0,0,0.508,0.131,0.18,2022
2,IND,6,58,0.345,0.97,0.621,0.23,0.655,0.63,0.345,0.19,0,0.345,0.138,0,0.31,0.069,0.103,2022
3,MIA,6,55,0.073,0.47,0.873,0.3,0.473,0.57,0.527,0.33,0,0.036,0.091,0.036,0.4,0.091,0.291,2022
4,CLE,6,49,0.551,0.32,0.449,0.14,0.816,0.3,0.184,-0.02,0.041,0.51,0.082,0,0.306,0.061,0,2022
5,GB,6,49,0.306,0.52,0.673,0.18,0.551,0.33,0.449,0.24,0,0.306,0,0,0.245,0.327,0.102,2022
6,ARI,6,47,0.085,0,0.894,0.27,0.532,0.08,0.468,0.42,0,0.085,0.149,0,0.447,0.043,0.255,2022
7,KC,6,47,0.426,0.47,0.511,0.54,0.404,0.31,0.596,0.56,0.021,0.362,0.277,0.043,0.043,0.106,0.085,2022
8,BUF,6,44,0.318,0.82,0.636,0.36,0.182,0.92,0.818,0.54,0.114,0.159,0.409,0.045,0.023,0.159,0.045,2022
9,CHI,6,42,0.357,0.06,0.548,0.79,0.476,0.73,0.524,0.21,0.095,0.214,0.024,0.048,0.262,0.238,0.024,2022
10,CIN,6,42,0.19,0.95,0.738,0.66,0.452,0.77,0.548,0.77,0,0.167,0.238,0.024,0.286,0.119,0.095,2022
11,SF,6,42,0.071,3.01,0.929,0.24,0.571,0.65,0.429,0.16,0,0.071,0.238,0,0.5,0.119,0.071,2022
12,TB,6,42,0.238,0.1,0.738,0.41,0.5,0.41,0.476,0.26,0,0.238,0.333,0,0.31,0.024,0.071,2022
13,DAL,6,38,0.368,0.23,0.579,0.27,0.684,0.26,0.316,0.11,0.026,0.342,0,0,0.342,0.184,0.053,2022
14,SEA,6,38,0.079,0.57,0.868,0.28,0.5,0.24,0.5,0.35,0.026,0.026,0.105,0.026,0.474,0.132,0.158,2022
15,NO,6,37,0.216,0.84,0.784,0.15,0.486,0.45,0.514,0.16,0.054,0.162,0.108,0,0.324,0.189,0.162,2022
16,NE,6,36,0.417,0.93,0.5,0.3,0.806,0.48,0.194,0.76,0.028,0.389,0,0,0.417,0.028,0.056,2022
17,BAL,6,36,0.528,0.42,0.444,0.32,0.667,0.51,0.333,0.08,0.056,0.472,0.028,0,0.194,0.222,0,2022
18,PIT,6,34,0.147,0.94,0.735,0.45,0.5,0.67,0.5,0.39,0,0.147,0.206,0,0.324,0.118,0.088,2022
19,LA,6,34,0.147,1.13,0.735,0.28,0.559,0.39,0.441,0.38,0.029,0.118,0.118,0,0.441,0.147,0.029,2022
20,DEN,6,34,0.235,0.2,0.765,0.42,0.618,0.38,0.382,0.34,0,0.235,0.088,0,0.353,0.147,0.176,2022
21,MIN,6,33,0.545,0.47,0.364,0.19,0.606,0.27,0.394,0.74,0.121,0.333,0.061,0.091,0.273,0.03,0,2022
22,NYG,6,32,0.25,0.67,0.594,0.3,0.469,0.53,0.531,0.37,0.125,0.125,0.094,0,0.344,0.063,0.094,2022
23,PHI,6,30,0.233,0.26,0.733,0.39,0.633,0.45,0.367,0.57,0.033,0.2,0.2,0,0.4,0.1,0.033,2022
24,JAX,6,27,0.074,0.3,0.852,0.31,0.704,0.54,0.296,0.2,0,0.074,0.074,0,0.593,0.185,0,2022
25,WAS,6,25,0.32,0.09,0.64,0.2,0.64,0.21,0.36,0.07,0.08,0.24,0.16,0,0.4,0,0.08,2022
26,CAR,6,23,0.043,0,0.826,0.24,0.696,0.16,0.304,0.17,0,0.043,0.13,0,0.522,0.087,0.087,2022
27,NYJ,6,21,0.429,0.16,0.571,0.28,0.619,0.16,0.381,0.34,0,0.429,0.095,0,0.19,0.143,0.143,2022
28,ATL,6,17,0.353,1.89,0.647,0.3,0.647,0.4,0.353,1.71,0.176,0.176,0,0,0.471,0.118,0.059,2022
